EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2030,WS2040,WS2050,WS2060,WS2070,WS2080
657,208,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,G,WILLIAMSON,Y,EDWARDS-BFZ AQUIFER | BELL,55,55,55,55,55,55
657,217,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,G,WILLIAMSON,Y,EDWARDS-BFZ AQUIFER | WILLIAMSON,146,137,133,133,133,133
657,217,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,K,WILLIAMSON,Y,EDWARDS-BFZ AQUIFER | WILLIAMSON,6,6,6,6,6,6
657,368,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,G,WILLIAMSON,Y,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,13,13,13,13,13,13
657,595,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,G,WILLIAMSON,Y,OTHER AQUIFER | WILLIAMSON,396,396,396,396,396,396
657,658,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,K,WILLIAMSON,Y,COLORADO RUN-OF-RIVER,0,369,90,206,735,2101
657,807,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,G,WILLIAMSON,Y,TRINITY AQUIFER | WILLIAMSON,2837,2842,2837,2842,2837,2837
658,130,"COUNTY-OTHER, WILSON",MUNICIPAL,L,WILSON,N,CARRIZO-WILCOX AQUIFER | WILSON,1476,1476,1476,1476,1476,1476
659,203,"COUNTY-OTHER, WINKLER",MUNICIPAL,F,WINKLER,N,DOCKUM AQUIFER | WINKLER,116,115,113,112,111,110
660,808,"COUNTY-OTHER, WISE",MUNICIPAL,C,WISE,N,TRINITY AQUIFER | WISE,2584,2584,2584,2584,2584,2584
660,810,"COUNTY-OTHER, WISE",MUNICIPAL,C,WISE,N,TRWD LAKE/RESERVOIR SYSTEM,203,190,177,160,150,140
661,125,"COUNTY-OTHER, WOOD",MUNICIPAL,D,WOOD,N,CARRIZO-WILCOX AQUIFER | UPSHUR,2,2,2,2,2,2
661,131,"COUNTY-OTHER, WOOD",MUNICIPAL,D,WOOD,N,CARRIZO-WILCOX AQUIFER | WOOD,4457,4460,4459,4459,4459,4459
662,506,"COUNTY-OTHER, YOAKUM",MUNICIPAL,O,YOAKUM,N,OGALLALA AND EDWARDS-TRINITY-HIGH PLAINS AQUIFERS | YOAKUM,229,229,229,229,229,229
663,290,"COUNTY-OTHER, YOUNG",MUNICIPAL,B,YOUNG,Y,GRAHAM/EDDLEMAN LAKE/RESERVOIR,32,31,24,33,20,20
663,290,"COUNTY-OTHER, YOUNG",MUNICIPAL,G,YOUNG,Y,GRAHAM/EDDLEMAN LAKE/RESERVOIR,93,77,71,49,62,51
663,1074,"COUNTY-OTHER, YOUNG",MUNICIPAL,B,YOUNG,Y,CROSS TIMBERS AQUIFER | YOUNG,53,53,60,51,63,63
663,1074,"COUNTY-OTHER, YOUNG",MUNICIPAL,G,YOUNG,Y,CROSS TIMBERS AQUIFER | YOUNG,152,151,151,148,145,145
664,6,"COUNTY-OTHER, ZAPATA",MUNICIPAL,M,ZAPATA,N,AMISTAD-FALCON LAKE/RESERVOIR SYSTEM,63,63,63,63,63,63
664,873,"COUNTY-OTHER, ZAPATA",MUNICIPAL,M,ZAPATA,N,YEGUA-JACKSON AQUIFER | ZAPATA,117,117,117,117,117,117
