EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,P2030,P2040,P2050,P2060,P2070,P2080
168,ALAMO,MUNICIPAL,M,HIDALGO,N,19549,20026,20404,21105,21819,22550
169,ALAMO HEIGHTS,MUNICIPAL,L,BEXAR,N,7806,7806,7806,7806,7806,7806
170,ALBANY,MUNICIPAL,G,SHACKELFORD,N,1780,1607,1425,1301,1157,992
171,ALEDO,MUNICIPAL,C,PARKER,N,7847,8462,10380,11847,13500,14500
172,ALICE,MUNICIPAL,N,JIM WELLS,N,20549,21799,22830,24021,25441,27158
173,ALLEN,MUNICIPAL,C,COLLIN,N,125000,140000,140000,140000,140000,140000
174,ALPINE,MUNICIPAL,E,BREWSTER,N,7129,6859,6615,6418,6219,6019
175,ALTO,MUNICIPAL,I,CHEROKEE,N,940,930,914,892,873,852
176,ALTO RURAL WSC,MUNICIPAL,I,CHEROKEE,N,4021,4398,4813,5275,5786,6353
178,ALVARADO,MUNICIPAL,G,JOHNSON,N,4988,5732,6477,7150,7908,8756
179,ALVIN,MUNICIPAL,H,BRAZORIA,N,26404,27446,29129,29260,29038,29158
180,ALVORD,MUNICIPAL,C,WISE,N,3020,3736,4375,4888,5453,6073
182,AMHERST,MUNICIPAL,O,LAMB,N,653,654,650,647,644,645
183,ANAHUAC,MUNICIPAL,H,CHAMBERS,N,1996,1996,1997,1997,2106,2122
185,ANDREWS,MUNICIPAL,F,ANDREWS,N,15919,19456,23478,27540,31965,36787
186,ANGLETON,MUNICIPAL,H,BRAZORIA,N,19244,19285,19056,18640,18168,17524
187,ANNA,MUNICIPAL,C,COLLIN,N,42924,69571,88103,104876,121250,130000
188,ANNETTA,MUNICIPAL,C,PARKER,N,3180,3810,4439,5068,5698,6327
190,ANSON,MUNICIPAL,G,JONES,N,2291,2195,2094,1984,1863,1731
